from,to,vote,relationship,year,weight
Hideo Tamaru,Mohamed Salah,3,4,2025,NA
Hideo Tamaru,Raphinha,1,4,2025,NA
Hideo Tamaru,Erling Haaland,5,4,2023,NA
Hideo Tamaru,Kevin De Bruyne,3,4,2023,NA
Hideo Tamaru,Victor Osimhen,1,4,2023,NA
Hideo Tamaru,Rodri,5,4,2024,NA
Hideo Tamaru,Jude Bellingham,3,4,2024,NA
Hideo Tamaru,Vinícius Jr,1,4,2024,NA
Kalidou Koulibaly,Ousmane Dembélé,5,4,2025,NA
Kalidou Koulibaly,Achraf Hakimi,3,4,2025,NA
Kalidou Koulibaly,Lamine Yamal,1,4,2025,NA
Kalidou Koulibaly,Lionel Messi,5,4,2023,NA
Kalidou Koulibaly,Erling Haaland,3,4,2023,NA
Kalidou Koulibaly,Kylian Mbappé,1,4,2023,NA
Kalidou Koulibaly,Vinícius Jr,5,4,2024,NA
Kalidou Koulibaly,Dani Carvajal,3,4,2024,NA
Kalidou Koulibaly,Rodri,1,4,2024,NA
Pape Bouna Thiaw,Ousmane Dembélé,5,4,2025,NA
Pape Bouna Thiaw,Achraf Hakimi,3,4,2025,NA
Pape Bouna Thiaw,Raphinha,1,4,2025,NA
Pape Bouna Thiaw,Vinícius Jr,5,4,2024,NA
Pape Bouna Thiaw,Rodri,3,4,2024,NA
Pape Bouna Thiaw,Jude Bellingham,1,4,2024,NA
