from,to,vote,relationship,year
Tobias Wedermann,Erling Haaland,5,4,2023
Tobias Wedermann,Kylian Mbappé,3,4,2023
Tobias Wedermann,Kevin De Bruyne,1,4,2023
Tobias Wedermann,Rodri,5,4,2024
Tobias Wedermann,Vinícius Jr,3,4,2024
Tobias Wedermann,Jude Bellingham,1,4,2024
Wataru Endo,Mohamed Salah,5,2,2025
Wataru Endo,Ousmane Dembélé,3,4,2025
Wataru Endo,Nuno Mendes,1,4,2025
Wataru Endo,Kevin De Bruyne,5,4,2023
Wataru Endo,Erling Haaland,3,4,2023
Wataru Endo,Lionel Messi,1,4,2023
Wataru Endo,Jude Bellingham,5,4,2024
Wataru Endo,Vinícius Jr,3,4,2024
Wataru Endo,Rodri,1,4,2024
Hajime Moriyasu,Kylian Mbappé,5,4,2025
Hajime Moriyasu,Lamine Yamal,3,4,2025
Hajime Moriyasu,Achraf Hakimi,1,4,2025
Hajime Moriyasu,Kylian Mbappé,5,4,2023
Hajime Moriyasu,Erling Haaland,3,4,2023
Hajime Moriyasu,Lionel Messi,1,4,2023
Hajime Moriyasu,Rodri,5,4,2024
Hajime Moriyasu,Erling Haaland,3,4,2024
Hajime Moriyasu,Kylian Mbappé,1,4,2024
Hideo Tamaru,Ousmane Dembélé,5,4,2025
Hideo Tamaru,Mohamed Salah,3,4,2025
Hideo Tamaru,Raphinha,1,4,2025
Hideo Tamaru,Erling Haaland,5,4,2023
Hideo Tamaru,Kevin De Bruyne,3,4,2023
Hideo Tamaru,Victor Osimhen,1,4,2023
Hideo Tamaru,Rodri,5,4,2024
Hideo Tamaru,Jude Bellingham,3,4,2024
Hideo Tamaru,Vinícius Jr,1,4,2024
Kalidou Koulibaly,Ousmane Dembélé,5,4,2025
Kalidou Koulibaly,Achraf Hakimi,3,4,2025
Kalidou Koulibaly,Lamine Yamal,1,4,2025
Kalidou Koulibaly,Lionel Messi,5,4,2023
Kalidou Koulibaly,Erling Haaland,3,4,2023
Kalidou Koulibaly,Kylian Mbappé,1,4,2023
Kalidou Koulibaly,Vinícius Jr,5,4,2024
Kalidou Koulibaly,Dani Carvajal,3,4,2024
Kalidou Koulibaly,Rodri,1,4,2024
Pape Bouna Thiaw,Ousmane Dembélé,5,4,2025
