name,role,country,club
Oluwashina Okeleji,3,Nigeria,NA
Igor Panevski,3,North Macedonia,NA
Mark Mcintosh,3,Northern Ireland,NA
Morten Pedersen,3,Norway,NA
Nasser Darwish,3,Oman,NA
Chaudhry Muhammad Ashraf,3,Pakistan,NA
Majdi Qasem,3,Palestine,NA
David Samudio Garay,3,Panama,NA
Patricia Keamo,3,Papua New Guinea,NA
Edgar Cantero,3,Paraguay,NA
Pedro Eduardo Canelo Quispe,3,Peru,NA
Ryan Fenix,3,Philippines,NA
Michal Pol,3,Poland,NA
Vítor Serpa,3,Portugal,NA
Esteban Pagán Rivera,3,Puerto Rico,NA
Ali Almslmani,3,Qatar,NA
Philip Quinn,3,Republic of Ireland,NA
Theodor Jumatate,3,Romania,NA
Oleg Koshelev,3,Russia,NA
Eddie Nsabimana,3,Rwanda,NA
Elia Gorini,3,San Marino,NA
Sultan Almohawes,3,Saudi Arabia,NA
Scott Mcdermott,3,Scotland,NA
Thierno Souleymane Diallo,3,Senegal,NA
Milan Rasevic,3,Serbia,NA
Sahr Morris Jr,3,Sierra Leone,NA
David Lee,3,Singapore,NA
Michal Zeman,3,Slovakia,NA
Anze Baselj,3,Slovenia,NA
Crofton Utukana,3,Solomon Islands,NA
Gamadiid Guurre,3,Somalia,NA
Robert Marawa,3,South Africa,NA
Albino Kuek Deng Kuach,3,South Sudan,NA
Juan Ignacio Gallardo,3,Spain,NA
Neville Victor Anthony,3,Sri Lanka,NA
Terry Finisterre,3,St Lucia,NA
Tahir Salih,3,Sudan,NA
Desney Romeo,3,Suriname,NA
Simon Bank,3,Sweden,NA
Tobias Wedermann,3,Switzerland,NA
Mohamad Nadim Aljabi,3,Syria,NA
Olivier Huc,3,Tahiti,NA
Faridun Saliev,3,Tajikistan,NA
Evance Joseph Mhando,3,Tanzania,NA
Kim Junumporn,3,Thailand,NA
Kodjo Sedem Gounoubou,3,Togo,NA
Justin Akauola,3,Tonga,NA
Ian Prescott,3,Trinidad and Tobago,NA
Tarek Ghdiri,3,Tunisia,NA
Serkan Saydam,3,Türkiye,NA
Alexander Vershinin,3,Turkmenistan,NA
Mayamba Stephen,3,Uganda,NA
Valerii Novobranets,3,Ukraine,NA
Omran Mohamed,3,United Arab Emirates,NA
Rómulo Martínez Chenlo,3,Uruguay,NA
Amara Gilbert,3,US Virgin Islands,NA
Douglas Mcintyre,3,USA,NA
Davron Fayziev,3,Uzbekistan,NA
Humberto Perozo Suárez,3,Venezuela,NA
Minh Viet Nguyen,3,Vietnam,NA
Paul Abbandonato,3,Wales,NA
Basheer Senan,3,Yemen,NA
Elias Chipepo,3,Zambia,NA
Sikhumbuzo Moyo,3,Zimbabwe,NA
Ousmane Dembélé,4,France,Paris Saint-Germain
Kylian Mbappé,4,France,Real Madrid
Lamine Yamal,4,Spain,FC Barcelona
Vitinha,4,Portugal,Paris Saint-Germain
Pedri,4,Spain,FC Barcelona
Raphinha,4,Brazil,FC Barcelona
Cole Palmer,4,England,FC Chelsea
Nuno Mendes,4,Portugal,Paris Saint-Germain
