from,to,vote,relationship,year,weight
Carl Ruiter,Ousmane Dembélé,5,4,2025,NA
Andreas Violaris,Vitinha,5,4,2025,NA
Jan Palička,Lamine Yamal,5,4,2025,NA
Klaus Egelund,Mohamed Salah,5,4,2025,NA
Yacin Ahmed Moussa,Ousmane Dembélé,5,4,2025,NA
Garvin Richards,Ousmane Dembélé,5,4,2025,NA
Jorge Rolando `,Ousmane Dembélé,5,4,2025,NA
Tito Rosales Cox,Ousmane Dembélé,5,4,2025,NA
Hady Elmadany,Mohamed Salah,5,1,2025,NA
Josué Valiente,Ousmane Dembélé,5,4,2025,NA
John Cross,Ousmane Dembélé,5,4,2025,NA
Yolanda Aseco Esono Mangue,Lamine Yamal,5,4,2025,NA
Michael Seium,Mohamed Salah,5,4,2025,NA
Aet Suvari,Ousmane Dembélé,5,4,2025,NA
Ashmond Innocent Nzima,Cole Palmer,5,4,2025,NA
Hussen Abdulkeni,Ousmane Dembélé,5,4,2025,NA
Símun Christian Olsen,Mohamed Salah,5,4,2025,NA
Anssi Karjalainen,Ousmane Dembélé,5,4,2025,NA
Cyrille De La Morinerie,Ousmane Dembélé,5,1,2025,NA
Momodou Bah,Ousmane Dembélé,5,4,2025,NA
Mamuka Kvaratskhelia,Ousmane Dembélé,5,4,2025,NA
Georg Holzner,Ousmane Dembélé,5,4,2025,NA
Gary Al Smith,Ousmane Dembélé,5,4,2025,NA
